,Market,Sector_Basic_Materials,Sector_Communication_Services,Sector_Consumer_Cyclical,Sector_Consumer_Defensive,Sector_Energy,Sector_Financial_Services,Sector_Healthcare,Sector_Industrials,Sector_Real_Estate,Sector_Technology,Sector_Utilities,Size,Nonlinear_Size,Momentum,Residual_Volatility,Liquidity,Book_to_Price,Earnings_Yield,Leverage,Dividend_Yield
Sector_Technology,-1.984704745005844e-16,-0.2050295453150214,0.16940122232338337,-0.1553985153596655,-0.526778952206003,-0.14133505807363742,-0.15224028611985163,-0.22570982366704026,-0.04762328342381766,-0.42676268725138833,1.0,-0.20256888468160006,-3.430477348545503e-16,2.400495665735097e-16,-1.0786684737940815e-15,-9.42880536128284e-16,-2.2378735977220036e-15,3.784768887571564e-15,-1.6726143392390985e-15,1.6158022622362309e-15,-2.2011488089709393e-15
Sector_Utilities,-3.756768557127148e-16,-0.11766668408818069,-0.042502936349814655,-0.39784792791829193,0.22491969291408603,0.010160409150192241,-0.10323606350876771,-0.03768447389466118,-0.23693183259680262,0.2939709829011264,-0.20256888468160006,1.0,1.0573221588706512e-17,1.0245258725290568e-15,1.3504074273328929e-15,-1.7339783683737768e-15,1.400071161167976e-15,-4.148383730810827e-15,-6.900861858703417e-16,2.9863657176013843e-16,4.36578500087934e-15
Size,3.3333198394726076e-16,1.6772865782148706e-16,-1.4057347716891377e-16,9.660279258342796e-16,-7.195355145644844e-17,-9.447785684616035e-17,-7.557907260313321e-16,3.4035946490233396e-16,-2.442899839429857e-17,5.21945243542728e-16,-3.430477348545503e-16,1.0573221588706512e-17,1.0,-0.8823879241770899,0.692638009550334,-0.10804688296562151,0.8159581873281381,-0.680794670770532,-0.3384799025431003,-0.053413096282364486,0.3853852157230556
Nonlinear_Size,-5.985377052046375e-16,-8.36859481647111e-16,1.3346685343860137e-15,-1.0708870948050088e-15,-2.390261932846061e-17,8.90616302049603e-16,2.309933662116467e-15,-2.5076415748443786e-15,-4.0139071071325166e-16,-1.4515925971940966e-15,2.400495665735097e-16,1.0245258725290568e-15,-0.8823879241770899,1.0,-0.6346501655703674,0.1476404004742732,-0.7029593871212257,0.6421718853732643,0.33170403875933197,-0.03597798098525236,-0.28963802828144336
Momentum,-5.361538821514174e-16,1.0329912575084331e-16,-4.0956839490000533e-16,-8.12863562264401e-16,3.053231133574966e-16,3.3760874630218725e-16,1.7600453238447768e-15,-9.56266540080371e-16,1.3512382156971247e-16,1.204447223572603e-16,-1.0786684737940815e-15,1.3504074273328929e-15,0.692638009550334,-0.6346501655703674,1.0,0.014976262867603764,0.6446522572325172,-0.6668913235763776,-0.44409625444599066,-0.034765510468084036,0.4363605550838514
Residual_Volatility,1.260129879245672e-15,1.1399962880215592e-15,-9.310026089157522e-16,2.0188947164084815e-15,9.741311312650315e-17,4.180311952283588e-16,-1.4417001480029532e-15,1.753864458572005e-17,2.8094288893167745e-15,-4.372939255347817e-16,-9.42880536128284e-16,-1.7339783683737768e-15,-0.10804688296562151,0.1476404004742732,0.014976262867603764,1.0,0.3369700611601676,-0.05523807455902505,-0.48209302516677327,-0.010405380879031978,0.2209651896517991
Liquidity,1.946869120243779e-16,-5.646370481049591e-16,6.746118932722965e-16,-1.6773169760476675e-16,8.905887353349945e-16,4.569604712672768e-16,2.27019861774752e-15,-1.4683841233994577e-15,-3.052092519645525e-16,1.1596615040705518e-15,-2.2378735977220036e-15,1.400071161167976e-15,0.8159581873281381,-0.7029593871212257,0.6446522572325172,0.3369700611601676,1.0,-0.6783148774435392,-0.5499369119353942,-0.042497518052146244,0.48624876809909967
Book_to_Price,1.825463589806658e-15,-1.0747556667175673e-15,8.065948026495299e-16,3.1486099291481203e-15,-2.9368897578924484e-15,-4.210243340149808e-15,7.663600132793522e-17,6.281404459930691e-16,-3.0413561280932523e-16,-9.508619586896256e-16,3.784768887571564e-15,-4.148383730810827e-15,-0.680794670770532,0.6421718853732643,-0.6668913235763776,-0.05523807455902505,-0.6783148774435392,1.0,0.4625427088467741,0.08139167468731956,-0.44444775463866165
Earnings_Yield,1.7199845518209628e-16,7.054209738648482e-16,2.0530537828893027e-16,1.4411602870628942e-15,1.0744859494913645e-15,4.446701144448814e-16,-1.3571985671293282e-15,1.7502300551120534e-15,-1.6376033357007197e-15,1.846882342140312e-15,-1.6726143392390985e-15,-6.900861858703417e-16,-0.3384799025431003,0.33170403875933197,-0.44409625444599066,-0.48209302516677327,-0.5499369119353942,0.4625427088467741,1.0,0.12441025071501423,-0.43364293903160855
Leverage,-3.7744966030645265e-16,-1.2070623524716956e-15,8.26890365297887e-16,3.13910944230512e-16,-7.35502542279591e-16,-1.541602009436292e-15,5.908370420797165e-16,-8.195046400323512e-16,-6.201703806064817e-16,-3.4538239426321364e-16,1.6158022622362309e-15,2.9863657176013843e-16,-0.053413096282364486,-0.03597798098525236,-0.034765510468084036,-0.010405380879031978,-0.042497518052146244,0.08139167468731956,0.12441025071501423,1.0,-0.0676054733970716
Dividend_Yield,-1.9293641908109304e-15,1.8657195633921227e-16,2.422141574511311e-16,-2.6455067508339357e-15,3.7640766311936215e-15,3.689651198689293e-16,-4.740297136948318e-16,-6.238049592087059e-16,-9.080148009813592e-16,1.982968358852735e-15,-2.2011488089709393e-15,4.36578500087934e-15,0.3853852157230556,-0.28963802828144336,0.4363605550838514,0.2209651896517991,0.48624876809909967,-0.44444775463866165,-0.43364293903160855,-0.0676054733970716,1.0
