Ticker,YahooTicker,YFinanceSector,YFinanceIndustry,MarketCap,SharesOutstanding,BookToPrice,EarningsYield,Leverage,DividendYield,RevenueGrowth,DataSource,WikiSector,WikiIndustry,CIK,Sector,Industry
AMT,AMT,Real Estate,REIT - Specialty,83111813120.0,466370068.0,0.04395376415640859,0.030301329891700802,4.34211,0.0387,0.075,yfinance_info+wikipedia_sp500,,,,Real Estate,REIT - Specialty
AMZN,AMZN,Consumer Cyclical,Internet Retail,2839014801408.0,10754251799.0,0.14510398056930007,0.027197999924239553,0.43435,,0.136,yfinance_info+wikipedia_sp500,,,,Consumer Cyclical,Internet Retail
ANET,ANET,Technology,Computer Hardware,222759665664.0,1259169438.0,0.05564976442341724,0.015488101294443503,0.00732,,0.289,yfinance_info+wikipedia_sp500,,,,Technology,Computer Hardware
AON,AON,Financial Services,Insurance Brokers,69024317440.0,214254496.0,0.13576321244868286,0.05299869215918291,1.6831800000000001,0.0102,0.037,yfinance_info+wikipedia_sp500,,,,Financial Services,Insurance Brokers
AOS,AOS,Industrials,Specialty Industrial Machinery,8899878912.0,112376652.0,0.2083100460061069,0.059801180490835666,0.10974,0.022099999999999998,0.0,yfinance_info+wikipedia_sp500,,,,Industrials,Specialty Industrial Machinery
APA,APA,Energy,Oil & Gas E&P,13333797888.0,353400414.0,0.4575138878340652,0.10575139146567719,0.6868500000000001,0.0265,-0.28,yfinance_info+wikipedia_sp500,,,,Energy,Oil & Gas E&P
APD,APD,Basic Materials,Specialty Chemicals,67188678656.0,222656008.0,0.22937434889223887,-0.004904559915164369,1.01991,0.024,0.058,yfinance_info+wikipedia_sp500,,,,Basic Materials,Specialty Chemicals
APH,APH,Technology,Electronic Components,184058068992.0,1229430709.0,0.07304121182382373,0.022309798944626275,1.1893500000000001,0.67,0.491,yfinance_info+wikipedia_sp500,,,,Technology,Electronic Components
APO,APO,Financial Services,Asset Management,71853015040.0,578247338.0,0.3049975650519394,0.0445839369064864,0.99468,0.016399999999999998,0.877,yfinance_info+wikipedia_sp500,,,,Financial Services,Asset Management
APP,APP,Communication Services,Advertising Agencies,150742417408.0,306053394.0,0.014075710714304314,0.02239621673470298,1.7180099999999998,,0.659,yfinance_info+wikipedia_sp500,,,,Communication Services,Advertising Agencies
APTV,APTV,Consumer Cyclical,Auto Parts,15093878784.0,213141325.0,0.7200832070547416,0.012479201331114808,0.85209,,0.05,yfinance_info+wikipedia_sp500,,,,Consumer Cyclical,Auto Parts
ARE,ARE,Real Estate,REIT - Office,8206224384.0,173127082.0,1.9137763381076311,-0.1780590717299578,0.6661499999999999,0.0861,-0.052,yfinance_info+wikipedia_sp500,,,,Real Estate,REIT - Office
ARES,ARES,Financial Services,Asset Management,25985927168.0,222023639.0,0.11008417256002283,0.014839885446498308,1.6344800000000002,0.046900000000000004,0.195,yfinance_info+wikipedia_sp500,,,,Financial Services,Asset Management
ATO,ATO,Utilities,Utilities - Regulated Gas,30680651776.0,165438946.0,0.4655486980232337,0.041412779724993264,0.67443,0.0216,0.142,yfinance_info+wikipedia_sp500,,,,Utilities,Utilities - Regulated Gas
AVB,AVB,Real Estate,REIT - Residential,23979995136.0,139111236.0,0.48143050334040555,0.042928413969137956,0.80256,0.041299999999999996,0.037,yfinance_info+wikipedia_sp500,,,,Real Estate,REIT - Residential
AVGO,AVGO,Technology,Semiconductors,2001628430336.0,4734668184.0,0.039892609096312724,0.012110890339672628,0.8270399999999999,0.62,0.295,yfinance_info+wikipedia_sp500,,,,Technology,Semiconductors
AVY,AVY,Consumer Cyclical,Packaging & Containers,12729768960.0,76917031.0,0.17622357357898993,0.053111782477341385,1.76335,0.0227,0.039,yfinance_info+wikipedia_sp500,,,,Consumer Cyclical,Packaging & Containers
AWK,AWK,Utilities,Utilities - Regulated Water,25858992128.0,195280114.0,0.41930222574846077,0.042969339978855166,1.46987,0.025,0.058,yfinance_info+wikipedia_sp500,,,,Utilities,Utilities - Regulated Water
AXON,AXON,Industrials,Aerospace & Defense,31996831744.0,80572201.0,0.10179794512703925,0.0038023771152296535,0.59107,,0.385,yfinance_info+wikipedia_sp500,,,,Industrials,Aerospace & Defense
AXP,AXP,Financial Services,Credit Services,214305079296.0,682326443.0,0.1553617048871479,0.05100611309220581,1.77797,0.0121,0.116,yfinance_info+wikipedia_sp500,,,,Financial Services,Credit Services
AZO,AZO,Consumer Cyclical,Auto Parts,59278176256.0,16476820.0,,0.03990038877445212,,,0.082,yfinance_info+wikipedia_sp500,,,,Consumer Cyclical,Auto Parts
BA,BA,Industrials,Aerospace & Defense,183233003520.0,788302331.0,0.03265788979346889,0.01088452934090518,8.28696,,0.14,yfinance_info+wikipedia_sp500,,,,Industrials,Aerospace & Defense
BAC,BAC,Financial Services,Banks - Diversified,371111723008.0,7129908032.0,0.7428242251321949,0.07723342939481267,,0.0215,0.118,yfinance_info+wikipedia_sp500,,,,Financial Services,Banks - Diversified
BALL,BALL,Consumer Cyclical,Packaging & Containers,16320504832.0,266153058.0,0.33313762608259734,0.053816046966731895,1.3602699999999999,0.013000000000000001,0.162,yfinance_info+wikipedia_sp500,,,,Consumer Cyclical,Packaging & Containers
BAX,BAX,Healthcare,Medical Instruments & Supplies,9375145984.0,516252514.0,0.6562775739124415,-0.09636563876651982,1.6027500000000001,0.019799999999999998,0.08,yfinance_info+wikipedia_sp500,,,,Healthcare,Medical Instruments & Supplies
BBY,BBY,Consumer Cyclical,Specialty Retail,12666397696.0,209112577.0,0.23449132968308498,0.08337468982630272,1.3947399999999999,0.0635,-0.01,yfinance_info+wikipedia_sp500,,,,Consumer Cyclical,Specialty Retail
BDX,BDX,Healthcare,Medical Instruments & Supplies,43278757888.0,284466650.0,0.5836006467462367,0.040226107532535825,0.7728400000000001,0.0276,0.016,yfinance_info+wikipedia_sp500,,,,Healthcare,Medical Instruments & Supplies
BEN,BEN,Financial Services,Asset Management,14123105280.0,520763448.0,0.8605087740916642,0.03982300884955752,0.24587,0.0487,0.034,yfinance_info+wikipedia_sp500,,,,Financial Services,Asset Management
BF-B,BF-B,Consumer Defensive,Beverages - Wineries & Distilleries,12985899008.0,290262390.0,0.3143412242515638,0.060755916637230664,0.67246,0.0323,0.02,yfinance_info+wikipedia_sp500,,,,Consumer Defensive,Beverages - Wineries & Distilleries
BG,BG,Consumer Defensive,Farm Products,24206921728.0,193810410.0,0.6583667251449937,0.03947157726180944,0.91006,0.022400000000000003,0.755,yfinance_info+wikipedia_sp500,,,,Consumer Defensive,Farm Products
BIIB,BIIB,Healthcare,Drug Manufacturers - General,27059337216.0,146758528.0,0.6745037254527017,0.047673283436381386,0.36466,,-0.071,yfinance_info+wikipedia_sp500,,,,Healthcare,Drug Manufacturers - General
BK,BK,Financial Services,Banks - Diversified,92009111552.0,686379000.0,0.42878029970628123,0.06012681835136143,,0.0158,0.134,yfinance_info+wikipedia_sp500,,,,Financial Services,Banks - Diversified
BKNG,BKNG,Consumer Cyclical,Travel Services,140265717760.0,778173152.0,,0.03672676837725381,,0.87,0.16,yfinance_info+wikipedia_sp500,,,,Consumer Cyclical,Travel Services
BKR,BKR,Energy,Oil & Gas Equipment & Services,68371755008.0,991757347.0,0.2768494247539598,0.04540179866550624,0.82935,0.013300000000000001,0.025,yfinance_info+wikipedia_sp500,,,,Energy,Oil & Gas Equipment & Services
BLDR,BLDR,Industrials,Building Products & Equipment,9680685056.0,107515372.0,0.43710569241869024,0.04320302087960906,1.17187,,-0.121,yfinance_info+wikipedia_sp500,,,,Industrials,Building Products & Equipment
BLK,BLK,Financial Services,Asset Management,162351710208.0,155364965.0,0.3448970175444284,0.03800109094040977,0.24367,0.0219,0.27,yfinance_info+wikipedia_sp500,,,,Financial Services,Asset Management
BMY,BMY,Healthcare,Drug Manufacturers - General,119870283776.0,2041735455.0,0.1545392600499508,0.05893374212229603,2.54982,0.0429,0.013,yfinance_info+wikipedia_sp500,,,,Healthcare,Drug Manufacturers - General
BR,BR,Technology,Information Technology Services,18104223744.0,116748715.0,0.15910234204056964,0.05829625330495905,1.17175,0.025099999999999997,0.078,yfinance_info+wikipedia_sp500,,,,Technology,Information Technology Services
BRK-B,BRK-B,Financial Services,Insurance - Diversified,1012262699008.0,1390722404.0,1062.5223873467014,0.0660956277166965,0.18809,,-0.007,yfinance_info+wikipedia_sp500,,,,Financial Services,Insurance - Diversified
BRO,BRO,Financial Services,Insurance Brokers,22433681408.0,339559191.0,0.5666463996137738,0.04795144157814871,0.62976,0.96,0.362,yfinance_info+wikipedia_sp500,,,,Financial Services,Insurance Brokers
BSX,BSX,Healthcare,Medical Devices,92246884352.0,1486175167.0,0.2632672822926347,0.03850491380699211,0.48921,,0.116,yfinance_info+wikipedia_sp500,,,,Healthcare,Medical Devices
BX,BX,Financial Services,Asset Management,148688175104.0,742180737.0,0.08760377652872314,0.032059186189889025,0.66125,0.039,0.057,yfinance_info+wikipedia_sp500,,,,Financial Services,Asset Management
BXP,BXP,Real Estate,REIT - Office,9160364032.0,158675962.0,0.5623419608211857,0.030140308331889833,2.25995,0.053399999999999996,-0.319,yfinance_info+wikipedia_sp500,,,,Real Estate,REIT - Office
C,C,Financial Services,Banks - Diversified,223877857280.0,1705600000.0,0.8768869950468162,0.06321300203156743,,0.018799999999999997,0.169,yfinance_info+wikipedia_sp500,,,,Financial Services,Banks - Diversified
CAG,CAG,Consumer Defensive,Packaged Foods,6779454464.0,478437156.0,1.2042342804073973,-0.007057163020465773,0.89813,0.09880000000000001,-0.019,yfinance_info+wikipedia_sp500,,,,Consumer Defensive,Packaged Foods
CAH,CAH,Healthcare,Medical Distribution,47027908608.0,235316016.0,,0.034776082061546164,,0.0102,0.188,yfinance_info+wikipedia_sp500,,,,Healthcare,Medical Distribution
CARR,CARR,Industrials,Building Products & Equipment,50936373248.0,835433325.0,0.2707725166978642,0.02771855010660981,0.8771899999999999,0.015700000000000002,-0.06,yfinance_info+wikipedia_sp500,,,,Industrials,Building Products & Equipment
CAT,CAT,Industrials,Farm & Heavy Construction Machinery,386556035072.0,465287332.0,0.055148717340102356,0.022604990430794787,2.0667,0.73,0.18,yfinance_info+wikipedia_sp500,,,,Industrials,Farm & Heavy Construction Machinery
CB,CB,Financial Services,Insurance - Property & Casualty,126696177664.0,388495580.0,0.5733901884108553,0.08668588249724028,,0.011899999999999999,0.101,yfinance_info+wikipedia_sp500,,,,Financial Services,Insurance - Property & Casualty
CBOE,CBOE,Financial Services,Financial Data & Stock Exchanges,31821750272.0,104742273.0,0.16161746761589993,0.034297751884401435,0.30957999999999997,0.92,0.087,yfinance_info+wikipedia_sp500,,,,Financial Services,Financial Data & Stock Exchanges
CBRE,CBRE,Real Estate,Real Estate Services,43421769728.0,292816579.0,0.1951716333488521,0.029469283161372987,1.13689,,0.186,yfinance_info+wikipedia_sp500,,,,Real Estate,Real Estate Services
CCI,CCI,Real Estate,REIT - Specialty,37675958272.0,436367346.0,,0.027449617790132035,,0.0492,-0.048,yfinance_info+wikipedia_sp500,,,,Real Estate,REIT - Specialty
CCL,CCL,Consumer Cyclical,Travel Services,37634244608.0,1239000212.0,0.3463010733913441,0.08354803091645197,2.03901,0.55,0.061,yfinance_info+wikipedia_sp500,,,,Consumer Cyclical,Travel Services
CDNS,CDNS,Technology,Software - Application,91908292608.0,276092068.0,0.06050347238503539,0.01219622097389528,0.48707,,0.062,yfinance_info+wikipedia_sp500,,,,Technology,Software - Application
CDW,CDW,Technology,Information Technology Services,17455413248.0,127974463.0,0.14883238021077047,0.05971031628731895,2.36871,0.018600000000000002,0.063,yfinance_info+wikipedia_sp500,,,,Technology,Information Technology Services
CEG,CEG,Utilities,Utilities - Independent Power Producers,113590239232.0,362294672.0,0.14823462273688162,0.023602207125314967,0.6394,0.54,0.129,yfinance_info+wikipedia_sp500,,,,Utilities,Utilities - Independent Power Producers
CF,CF,Basic Materials,Agricultural Inputs,18576834560.0,153616434.0,0.2605391607814778,0.07417514264450509,0.46765,0.0165,0.228,yfinance_info+wikipedia_sp500,,,,Basic Materials,Agricultural Inputs
CFG,CFG,Financial Services,Banks - Regional,27176044544.0,426023578.0,0.8853739150960059,0.0661545696817683,,0.0288,0.138,yfinance_info+wikipedia_sp500,,,,Financial Services,Banks - Regional
CHD,CHD,Consumer Defensive,Household & Personal Products,22507870208.0,236875094.0,0.17805725644749779,0.031782782572090086,0.59517,0.0129,0.039,yfinance_info+wikipedia_sp500,,,,Consumer Defensive,Household & Personal Products
CHRW,CHRW,Industrials,Integrated Freight & Logistics,21711171584.0,117850413.0,0.08514450597837891,0.026389116538272413,0.75604,0.0138,-0.065,yfinance_info+wikipedia_sp500,,,,Industrials,Integrated Freight & Logistics
CHTR,CHTR,Communication Services,Telecom Services,25430460416.0,141178369.0,0.7038083704351781,0.20518514406262145,4.55672,,-0.01,yfinance_info+wikipedia_sp500,,,,Communication Services,Telecom Services
CI,CI,Healthcare,Healthcare Plans,72675459072.0,263660761.0,0.5743904568471937,0.08050355536206648,0.75137,0.0226,0.104,yfinance_info+wikipedia_sp500,,,,Healthcare,Healthcare Plans
CIEN,CIEN,Technology,Communication Equipment,73640304640.0,141398427.0,0.037905144876685656,0.0029953917050691246,0.56931,,0.331,yfinance_info+wikipedia_sp500,,,,Technology,Communication Equipment
CINF,CINF,Financial Services,Insurance - Property & Casualty,25607266304.0,155686200.0,0.6224890736049132,0.09223005836575876,0.05567999999999999,0.0216,0.218,yfinance_info+wikipedia_sp500,,,,Financial Services,Insurance - Property & Casualty
CL,CL,Consumer Defensive,Household & Personal Products,67914854400.0,802301915.0,0.000791494348453329,0.03106910809214412,23.43562,0.025,0.058,yfinance_info+wikipedia_sp500,,,,Consumer Defensive,Household & Personal Products
CLX,CLX,Consumer Defensive,Household & Personal Products,11931582464.0,120911863.0,,0.06191730847182813,91.91429,0.050300000000000004,-0.008,yfinance_info+wikipedia_sp500,,,,Consumer Defensive,Household & Personal Products
CMCSA,CMCSA,Communication Services,Telecom Services,98450620416.0,3562784182.0,0.8954644635375376,0.18505079825834542,1.06858,0.0479,0.053,yfinance_info+wikipedia_sp500,,,,Communication Services,Telecom Services
CME,CME,Financial Services,Financial Data & Stock Exchanges,103422074880.0,362804943.0,0.25987512480502867,0.041114151406721394,0.1286,0.0182,0.147,yfinance_info+wikipedia_sp500,,,,Financial Services,Financial Data & Stock Exchanges
CMG,CMG,Consumer Cyclical,Restaurants,44555890688.0,1302423000.0,0.0634317489604805,0.03332358959368605,1.7931899999999998,,0.049,yfinance_info+wikipedia_sp500,,,,Consumer Cyclical,Restaurants
CMI,CMI,Industrials,Specialty Industrial Machinery,91353595904.0,138257420.0,0.13533257438825616,0.03099508134695422,0.60516,0.0118,0.011,yfinance_info+wikipedia_sp500,,,,Industrials,Specialty Industrial Machinery
CMS,CMS,Utilities,Utilities - Regulated Electric,23490902016.0,307996655.0,0.38168349750940067,0.04615182902845156,1.94861,0.029900000000000003,0.123,yfinance_info+wikipedia_sp500,,,,Utilities,Utilities - Regulated Electric
CNC,CNC,Healthcare,Healthcare Plans,20565925888.0,491772493.0,0.9702295728108297,-0.32352941176470584,0.9055599999999999,,0.232,yfinance_info+wikipedia_sp500,,,,Healthcare,Healthcare Plans
CNP,CNP,Utilities,Utilities - Regulated Electric,27782578176.0,654169480.0,0.40223687142092146,0.03838003296444549,2.15591,0.0217,0.019,yfinance_info+wikipedia_sp500,,,,Utilities,Utilities - Regulated Electric
COF,COF,Financial Services,Credit Services,121378750464.0,634195906.0,0.9064841901905357,0.01698103349182298,,0.0167,0.463,yfinance_info+wikipedia_sp500,,,,Financial Services,Credit Services
COIN,COIN,Financial Services,Financial Data & Stock Exchanges,52754296832.0,223041278.0,0.27647793213970806,0.02227561695950343,0.53119,,-0.222,yfinance_info+wikipedia_sp500,,,,Financial Services,Financial Data & Stock Exchanges
COO,COO,Healthcare,Medical Instruments & Supplies,12569269248.0,195114398.0,0.6654610287388661,0.031201490220428434,0.33201,,0.062,yfinance_info+wikipedia_sp500,,,,Healthcare,Medical Instruments & Supplies
COP,COP,Energy,Oil & Gas E&P,148407549952.0,1218853041.0,0.4322848293616156,0.05223390275952694,0.37828,0.0276,-0.068,yfinance_info+wikipedia_sp500,,,,Energy,Oil & Gas E&P
COR,COR,Healthcare,Medical Distribution,59952414720.0,194530682.0,0.03183101449167414,0.02699633343067588,4.72584,0.78,0.055,yfinance_info+wikipedia_sp500,,,,Healthcare,Medical Distribution
COST,COST,Consumer Defensive,Discount Stores,448599293952.0,443652540.0,0.03686693300813749,0.01899817040003956,0.6025699999999999,0.58,0.215,yfinance_info+wikipedia_sp500,,,,Consumer Defensive,Discount Stores
CPAY,CPAY,Technology,Software - Infrastructure,20693362688.0,66131990.0,0.18156337907314293,0.048001022658272344,2.4334800000000003,,0.207,yfinance_info+wikipedia_sp500,,,,Technology,Software - Infrastructure
CPB,CPB,Consumer Defensive,Packaged Foods,6147781120.0,298146488.0,0.6517943278641488,0.0892337536372454,1.8500100000000002,0.0757,-0.045,yfinance_info+wikipedia_sp500,,,,Consumer Defensive,Packaged Foods
CPRT,CPRT,Industrials,Specialty Business Services,31856609280.0,963308388.0,0.30728755797594354,0.048079830662231635,0.0098,,-0.036,yfinance_info+wikipedia_sp500,,,,Industrials,Specialty Business Services
CPT,CPT,Real Estate,REIT - Residential,10655922176.0,104726511.0,0.40309582430213936,0.03479115479115479,0.88402,0.0417,0.022,yfinance_info+wikipedia_sp500,,,,Real Estate,REIT - Residential
CRH,CRH,Basic Materials,Building Materials,78847639552.0,668200316.0,0.30422880780913975,0.04669491525423729,0.7734099999999999,0.0127,0.062,yfinance_info+wikipedia_sp500,,,,Basic Materials,Building Materials
CRL,CRL,Healthcare,Diagnostics & Research,8378265088.0,49341960.0,0.3786808153937084,-0.01707891637220259,0.81947,,-0.008,yfinance_info+wikipedia_sp500,,,,Healthcare,Diagnostics & Research
CRM,CRM,Technology,Software - Application,145744461824.0,818053744.0,0.35733046840056987,0.043780871127076786,0.29947,0.99,0.121,yfinance_info+wikipedia_sp500,,,,Technology,Software - Application
CRWD,CRWD,Technology,Software - Infrastructure,113652088832.0,253614090.0,0.03900207725063437,-0.0014951018677615872,0.18336,,0.233,yfinance_info+wikipedia_sp500,,,,Technology,Software - Infrastructure
CSCO,CSCO,Technology,Communication Equipment,351579996160.0,3949893042.0,0.1357712546538822,0.031232445792607567,0.66509,0.0189,0.097,yfinance_info+wikipedia_sp500,,,,Technology,Communication Equipment
CSGP,CSGP,Real Estate,Real Estate Services,15444102144.0,419793301.0,0.5472832476488438,0.0005488474204171241,0.13666,,0.269,yfinance_info+wikipedia_sp500,,,,Real Estate,Real Estate Services
CSX,CSX,Industrials,Railroads,84378083328.0,1858138856.0,0.15578066207404503,0.035895177273728256,1.4306,0.0123,0.017,yfinance_info+wikipedia_sp500,,,,Industrials,Railroads
CTAS,CTAS,Industrials,Specialty Business Services,70375317504.0,400087119.0,0.06805571558100901,0.026890278567367823,0.60943,0.0102,0.089,yfinance_info+wikipedia_sp500,,,,Industrials,Specialty Business Services
CTRA,CTRA,Energy,Oil & Gas E&P,25461092352.0,759352619.0,0.582284551513375,0.06680584551148226,0.26984,0.0262,0.234,yfinance_info+wikipedia_sp500,,,,Energy,Oil & Gas E&P
CTSH,CTSH,Technology,Information Technology Services,26356187136.0,478246920.0,0.5688078299810644,0.08274360370168753,0.07819,0.024,0.049,yfinance_info+wikipedia_sp500,,,,Technology,Information Technology Services
CTVA,CTVA,Basic Materials,Agricultural Inputs,53574250496.0,671356502.0,0.45012524509882257,0.02192982456140351,0.12282,0.9,-0.017,yfinance_info+wikipedia_sp500,,,,Basic Materials,Agricultural Inputs
CVNA,CVNA,Consumer Cyclical,Auto & Truck Dealerships,58495893504.0,142993769.0,0.05914002945528307,0.02070499657768652,1.33119,,0.58,yfinance_info+wikipedia_sp500,,,,Consumer Cyclical,Auto & Truck Dealerships
CVS,CVS,Healthcare,Healthcare Plans,99888242688.0,1281604403.0,0.7592635083228189,0.01783423146009751,1.0606,0.0341,0.084,yfinance_info+wikipedia_sp500,,,,Healthcare,Healthcare Plans
CVX,CVX,Energy,Oil & Gas Integrated,368919576576.0,1991898801.0,0.5083688441680205,0.035797203174774576,0.24323,0.0384,-0.082,yfinance_info+wikipedia_sp500,,,,Energy,Oil & Gas Integrated
D,D,Utilities,Utilities - Regulated Electric,55005614080.0,878964717.0,0.5106903057038132,0.05544902524768297,1.50094,0.042699999999999995,0.204,yfinance_info+wikipedia_sp500,,,,Utilities,Utilities - Regulated Electric
DAL,DAL,Industrials,Airlines,44971245568.0,656994112.0,0.4555588036898259,0.10007304601899196,1.05021,0.011000000000000001,0.129,yfinance_info+wikipedia_sp500,,,,Industrials,Airlines
DASH,DASH,Consumer Cyclical,Internet Retail,77031251968.0,411364274.0,0.13069351599407644,0.011992306822038694,0.32749,,0.377,yfinance_info+wikipedia_sp500,,,,Consumer Cyclical,Internet Retail
DD,DD,Basic Materials,Specialty Chemicals,18989611008.0,409877186.0,0.7342110483784876,0.0045327001942585795,0.24484000000000003,0.0173,,yfinance_info+wikipedia_sp500,,,,Basic Materials,Specialty Chemicals
DDOG,DDOG,Technology,Software - Application,45816668160.0,328483364.0,0.08176552704873136,0.002394192153228298,0.34269,,0.292,yfinance_info+wikipedia_sp500,,,,Technology,Software - Application
